Date,$FutureFlag,SO2,$TS-SO2
2021-10-31,1,,244.232161
2021-11-01,1,,243.78678
2021-11-02,1,,253.164593
2021-11-03,1,,247.559048
2021-11-04,1,,249.595735
2021-11-05,1,,251.179163
2021-11-06,1,,255.721259
2021-11-07,1,,244.232161
2021-11-08,1,,243.78678
2021-11-09,1,,253.164593
2021-11-10,1,,247.559048
2021-11-11,1,,249.595735
2021-11-12,1,,251.179163
2021-11-13,1,,255.721259
2021-11-14,1,,244.232161
2021-11-15,1,,243.78678
2021-11-16,1,,253.164593
2021-11-17,1,,247.559048
2021-11-18,1,,249.595735
2021-11-19,1,,251.179163
2021-11-20,1,,255.721259
2021-11-21,1,,244.232161
2021-11-22,1,,243.78678
2021-11-23,1,,253.164593
2021-11-24,1,,247.559048
2021-11-25,1,,249.595735
2021-11-26,1,,251.179163
2021-11-27,1,,255.721259
2021-11-28,1,,244.232161
2021-11-29,1,,243.78678
2021-11-30,1,,253.164593
2021-12-01,1,,247.559048
2021-12-02,1,,249.595735
2021-12-03,1,,251.179163
2021-12-04,1,,255.721259
2021-12-05,1,,244.232161
2021-12-06,1,,243.78678
2021-12-07,1,,253.164593
2021-12-08,1,,247.559048
2021-12-09,1,,249.595735
2021-12-10,1,,251.179163
2021-12-11,1,,255.721259
2021-12-12,1,,244.232161
2021-12-13,1,,243.78678
2021-12-14,1,,253.164593
2021-12-15,1,,247.559048
2021-12-16,1,,249.595735
2021-12-17,1,,251.179163
2021-12-18,1,,255.721259
2021-12-19,1,,244.232161
2021-12-20,1,,243.78678
2021-12-21,1,,253.164593
2021-12-22,1,,247.559048
2021-12-23,1,,249.595735
2021-12-24,1,,251.179163
2021-12-25,1,,255.721259
2021-12-26,1,,244.232161
2021-12-27,1,,243.78678
2021-12-28,1,,253.164593
2021-12-29,1,,247.559048
2021-12-30,1,,249.595735
2021-12-31,1,,251.179163
2022-01-01,1,,255.721259
2022-01-02,1,,244.232161
2022-01-03,1,,243.78678
2022-01-04,1,,253.164593
2022-01-05,1,,247.559048
2022-01-06,1,,249.595735
2022-01-07,1,,251.179163
2022-01-08,1,,255.721259
2022-01-09,1,,244.232161
2022-01-10,1,,243.78678
2022-01-11,1,,253.164593
2022-01-12,1,,247.559048
