Date,$FutureFlag,NO,$TS-NO
2022-05-15,1,,243.009568
2022-05-16,1,,248.676277
2022-05-17,1,,288.001833
2022-05-18,1,,320.966278
2022-05-19,1,,282.237389
2022-05-20,1,,267.248525
2022-05-21,1,,228.868102
2022-05-22,1,,243.009568
2022-05-23,1,,248.676277
2022-05-24,1,,288.001833
2022-05-25,1,,320.966278
2022-05-26,1,,282.237389
2022-05-27,1,,267.248525
2022-05-28,1,,228.868102
2022-05-29,1,,243.009568
2022-05-30,1,,248.676277
2022-05-31,1,,288.001833
2022-06-01,1,,320.966278
2022-06-02,1,,282.237389
2022-06-03,1,,267.248525
2022-06-04,1,,228.868102
2022-06-05,1,,243.009568
2022-06-06,1,,248.676277
2022-06-07,1,,288.001833
2022-06-08,1,,320.966278
2022-06-09,1,,282.237389
2022-06-10,1,,267.248525
2022-06-11,1,,228.868102
2022-06-12,1,,243.009568
2022-06-13,1,,248.676277
2022-06-14,1,,288.001833
2022-06-15,1,,320.966278
2022-06-16,1,,282.237389
2022-06-17,1,,267.248525
2022-06-18,1,,228.868102
2022-06-19,1,,243.009568
2022-06-20,1,,248.676277
2022-06-21,1,,288.001833
2022-06-22,1,,320.966278
2022-06-23,1,,282.237389
2022-06-24,1,,267.248525
2022-06-25,1,,228.868102
2022-06-26,1,,243.009568
2022-06-27,1,,248.676277
2022-06-28,1,,288.001833
2022-06-29,1,,320.966278
2022-06-30,1,,282.237389
2022-07-01,1,,267.248525
2022-07-02,1,,228.868102
2022-07-03,1,,243.009568
2022-07-04,1,,248.676277
2022-07-05,1,,288.001833
2022-07-06,1,,320.966278
2022-07-07,1,,282.237389
2022-07-08,1,,267.248525
2022-07-09,1,,228.868102
2022-07-10,1,,243.009568
2022-07-11,1,,248.676277
2022-07-12,1,,288.001833
2022-07-13,1,,320.966278
2022-07-14,1,,282.237389
2022-07-15,1,,267.248525
2022-07-16,1,,228.868102
2022-07-17,1,,243.009568
2022-07-18,1,,248.676277
2022-07-19,1,,288.001833
2022-07-20,1,,320.966278
2022-07-21,1,,282.237389
2022-07-22,1,,267.248525
2022-07-23,1,,228.868102
2022-07-24,1,,243.009568
2022-07-25,1,,248.676277
2022-07-26,1,,288.001833
2022-07-27,1,,320.966278
2022-07-28,1,,282.237389
2022-07-29,1,,267.248525
2022-07-30,1,,228.868102
2022-07-31,1,,243.009568
2022-08-01,1,,248.676277
2022-08-02,1,,288.001833
